rank	score	disease_name	disease_identifier
319	0.6332	X-linked female restricted facial dysmorphism-short stature-choanal atresia-intellectual disability	ORPHA:480880
320	0.633	Van Maldergem syndrome 2	OMIM:615546
321	0.6327	Microphthalmia with linear skin defects syndrome	ORPHA:2556
321	0.6327	Microphthalmia with linear skin defects syndrome	ORPHA:2556
321	0.6327	Microphthalmia with linear skin defects syndrome	ORPHA:2556
324	0.6324	6q25 microdeletion syndrome	ORPHA:251056
324	0.6324	Carey-Fineman-Ziter syndrome	OMIM:254940
326	0.6321	Schinzel-Giedion syndrome	ORPHA:798
327	0.6313	Cutis laxa, autosomal recessive, type IIE	OMIM:619451
328	0.6311	Baraitser-Winter syndrome 1	OMIM:243310
328	0.6311	Mandibulofacial dysostosis, Guion-Almeida type	OMIM:610536
330	0.6308	Melnick-Needles syndrome	ORPHA:2484
331	0.6304	Holoprosencephaly 12, with or without pancreatic agenesis	OMIM:618500
332	0.6303	Wrinkly skin syndrome	OMIM:278250
333	0.6302	Wolf-Hirschhorn syndrome	ORPHA:280
333	0.6302	Wolf-Hirschhorn syndrome	ORPHA:280
333	0.6302	Wolf-Hirschhorn syndrome	ORPHA:280
333	0.6302	Wolf-Hirschhorn syndrome	ORPHA:280
333	0.6302	Wolf-Hirschhorn syndrome	ORPHA:280
333	0.6302	Wolf-Hirschhorn syndrome	ORPHA:280
339	0.6298	Bryant-Li-Bhoj neurodevelopmental syndrome 2	OMIM:619721
340	0.6297	Smith-Lemli-Opitz syndrome	OMIM:270400
341	0.6294	White-Sutton syndrome	ORPHA:468678
341	0.6294	CODAS syndrome	OMIM:600373
343	0.6286	Infantile-onset multisystem neurologic, endocrine, and pancreatic disease	OMIM:616263
343	0.6286	CEDNIK syndrome	ORPHA:66631
345	0.6282	Neurodevelopmental disorder with visual defects and brain anomalies	OMIM:618547
346	0.6277	Neurodevelopmental disorder with seizures, hypotonia, and brain abnormalities	OMIM:618922
346	0.6277	Keutel syndrome	OMIM:245150
348	0.6275	Mosaic variegated aneuploidy syndrome 2	OMIM:614114
349	0.6267	Combined oxidative phosphorylation deficiency 27	OMIM:616672
349	0.6267	?Congenital disorder of glycosylation, type 1aa	OMIM:617082
349	0.6267	Salt and pepper developmental regression syndrome	OMIM:609056
352	0.6261	Lenz-Majewski hyperostotic dwarfism	OMIM:151050
353	0.626	Cortical dysgenesis with pontocerebellar hypoplasia due to TUBB3 mutation	ORPHA:300570
354	0.6258	Roberts syndrome	ORPHA:3103
355	0.6253	Neurodevelopmental disorder with hypotonia and brain abnormalities	OMIM:619512
356	0.6252	Combined oxidative phosphorylation deficiency 14	OMIM:614946
356	0.6252	Encephalopathy, progressive, early-onset, with brain atrophy and spasticity	OMIM:617669
358	0.6247	Genitopatellar syndrome	ORPHA:85201
358	0.6247	22q11.2 duplication syndrome	ORPHA:1727
358	0.6247	Facial dysmorphism-developmental delay-behavioral abnormalities syndrome due to 10p11.21p12.31 microdeletion	ORPHA:284169
358	0.6247	Linear skin defects with multiple congenital anomalies 1	OMIM:309801
358	0.6247	Keutel syndrome	ORPHA:85202
358	0.6247	Cowden syndrome	ORPHA:201
358	0.6247	ALG11-CDG	ORPHA:280071
358	0.6247	Coffin-Siris syndrome 2	OMIM:614607
358	0.6247	Mitochondrial complex III deficiency, nuclear type 1	OMIM:124000
358	0.6247	Macrothrombocytopenia-lymphedema-developmental delay-facial dysmorphism-camptodactyly syndrome	ORPHA:487796
358	0.6247	X-linked intellectual disability-hypotonia-movement disorder syndrome	ORPHA:457260
358	0.6247	Cowden syndrome	ORPHA:201
358	0.6247	IFAP syndrome with or without BRESHECK syndrome	OMIM:308205
358	0.6247	Autosomal dominant Charcot-Marie-Tooth disease type 2Z	ORPHA:466768
358	0.6247	?Galloway-Mowat syndrome 8	OMIM:618349
358	0.6247	Developmental and epileptic encephalopathy 80	OMIM:618580
358	0.6247	Cowden syndrome	ORPHA:201
358	0.6247	Multiple mitochondrial dysfunctions syndrome 6	OMIM:617954
358	0.6247	Mitochondrial DNA depletion syndrome 4B (MNGIE type)	OMIM:613662
358	0.6247	Cowden syndrome 1	OMIM:158350
358	0.6247	Cowden syndrome	ORPHA:201
358	0.6247	RFT1-CDG	ORPHA:244310
358	0.6247	Combined oxidative phosphorylation deficiency 11	OMIM:614922
358	0.6247	Cowden syndrome	ORPHA:201
358	0.6247	Cowden syndrome	ORPHA:201
358	0.6247	Cowden syndrome	ORPHA:201
358	0.6247	Cowden syndrome	ORPHA:201
358	0.6247	Coffin-Siris syndrome 4	OMIM:614609
358	0.6247	Coffin-Siris syndrome 3	OMIM:614608
358	0.6247	Suleiman-El-Hattab syndrome	OMIM:618950
358	0.6247	Cardiac, facial, and digital anomalies with developmental delay	OMIM:618164
358	0.6247	Developmental delay with or without dysmorphic facies and autism	OMIM:618454
358	0.6247	Cowden syndrome	ORPHA:201
358	0.6247	?Optic atrophy 11	OMIM:617302
358	0.6247	Dentici-Novelli neurodevelopmental syndrome	OMIM:619877
393	0.624	Combined oxidative phosphorylation defect type 27	ORPHA:477774
394	0.6222	Kenny-Caffey syndrome, type 2	OMIM:127000
395	0.6221	Cutis gyrata-acanthosis nigricans-craniosynostosis syndrome	ORPHA:1555
396	0.6216	Mucopolysaccharidosis type IIID	OMIM:252940
397	0.6214	X-linked intellectual disability-global development delay-facial dysmorphism-sacral caudal remnant syndrome	ORPHA:480907
398	0.6213	Weiss-Kruszka syndrome	OMIM:618619
399	0.6212	Frontonasal dysplasia 2	OMIM:613451
400	0.621	Saul-Wilson syndrome	OMIM:618150
401	0.6207	COFS syndrome	ORPHA:1466
401	0.6207	COFS syndrome	ORPHA:1466
401	0.6207	COFS syndrome	ORPHA:1466
401	0.6207	COFS syndrome	ORPHA:1466
401	0.6207	COFS syndrome	ORPHA:1466
401	0.6207	Gabriele-de Vries syndrome	ORPHA:506358
407	0.6204	Facial dysmorphism-developmental delay-behavioral abnormalities syndrome due to WAC point mutation	ORPHA:466950
407	0.6204	Developmental and epileptic encephalopathy 81	OMIM:618663
409	0.6203	Lessel-Kreienkamp syndrome	OMIM:619149
410	0.6201	Craniotubular dysplasia, Ikegawa type	OMIM:619727
411	0.6196	Leukodystrophy, hypomyelinating, 12	OMIM:616683
412	0.6195	Kagami-Ogata syndrome due to paternal uniparental disomy of chromosome 14	ORPHA:96334
412	0.6195	Kagami-Ogata syndrome due to paternal uniparental disomy of chromosome 14	ORPHA:96334
414	0.6191	Neurodevelopmental disorder with speech impairment and with or without seizures	OMIM:620114
414	0.6191	DEEAH syndrome	OMIM:619004
416	0.6187	Growth retardation, developmental delay, facial dysmorphism	OMIM:612938
417	0.6185	Otopalatodigital syndrome type 2	ORPHA:90652
